"date","variable","strat","type","median","mean","sd","max","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90"
2025-09-08,"infections",NA,"Estimate",21.0351164402285,22.0980231060036,6.68090792819749,3210,13.6618343076127,17.7341544460988,19.7480622213732,22.5769013095576,25.2801599422735,33.3454316573716
2025-09-09,"infections",NA,"Estimate",22.1424331791171,23.0951850943405,6.51539988301603,3210,14.7124540895175,18.8560182253743,20.8148493117091,23.6206386130644,26.2875265982327,33.9896561398419
2025-09-10,"infections",NA,"Estimate",23.3041212258861,24.1543964733445,6.36423279785955,3210,15.833418618873,20.0224985235232,21.9460521888783,24.7413866886068,27.2473269599352,34.8018550251938
2025-09-11,"infections",NA,"Estimate",24.5013928265942,25.2814481389038,6.23040191222901,3210,17.03575984432,21.2462673942486,23.1444591270584,25.8783115870983,28.4225351827548,35.633754091311
2025-09-12,"infections",NA,"Estimate",25.7545347735672,26.4813311176877,6.1152305347765,3210,18.3132199904267,22.4863437949863,24.4042925719599,27.1397306661632,29.5925219876109,36.6453632429984
2025-09-13,"infections",NA,"Estimate",27.0663879227468,27.7587741556007,6.0196078635301,3210,19.6595750687729,23.8122068589951,25.7787575221305,28.4482700548722,30.7889923899333,37.8344605569856
2025-09-14,"infections",NA,"Estimate",28.4910020093321,29.1186968201066,5.94463515898556,3210,20.9938852213352,25.2174483732178,27.2230947123185,29.7871342908653,32.1544640411809,39.0075746165731
2025-09-15,"infections",NA,"Estimate",29.9346941806442,30.5663848041832,5.89180300051208,3210,22.5119589168166,26.7297928920287,28.7200532745156,31.3177430781118,33.5597896796041,40.3849998489738
2025-09-16,"infections",NA,"Estimate",31.5339086370521,32.1075552474908,5.86301361602907,3210,24.0476047610645,28.3283856410054,30.2870399277291,32.8202290933124,35.0695864046409,41.9186350697795
2025-09-17,"infections",NA,"Estimate",33.2183807225037,33.748401329246,5.86053809891853,3210,25.6605052476327,29.9943132117493,31.9190383540468,34.4893087977849,36.7095012023588,43.7691976158897
2025-09-18,"infections",NA,"Estimate",34.9705374084528,35.4953112249706,5.88697875737092,3210,27.3968839674753,31.6857698387918,33.7218141541001,36.2101232173637,38.4549922203577,45.6847941951843
2025-09-19,"infections",NA,"Estimate",36.7975989410447,37.3556174254669,5.94510146249233,3210,29.1501230050383,33.516659216931,35.6250093012363,38.0721915196616,40.3219458408971,47.7479589438699
2025-09-20,"infections",NA,"Estimate",38.7518985052242,39.3372067839835,6.03761922939715,3210,30.9591893559125,35.4807387825827,37.5370486705236,40.0229716467761,42.4530257347547,49.9525958806271
2025-09-21,"infections",NA,"Estimate",40.7935039577724,41.4486628089709,6.16701430686333,3210,32.890416612459,37.4860039013333,39.631847270986,42.1067932226696,44.6903107308103,52.2627064949803
2025-09-22,"infections",NA,"Estimate",43.0337570760141,43.6993715049722,6.33535758741326,3210,34.8555019858207,39.6851563497886,41.8074446874263,44.3692520456446,46.9866937838307,54.7229492670349
2025-09-23,"infections",NA,"Estimate",45.4113501446548,46.0996129785487,6.54416079194444,3210,36.7530048591219,41.9178931428062,44.0698107576191,46.8801324071184,49.5368061387347,57.3527852582654
2025-09-24,"infections",NA,"Estimate",47.9408312211664,48.6606562845499,6.7942815346617,3210,38.7984947982136,44.3590320921516,46.5724455271737,49.4800819207159,52.1342374440812,60.4601057882096
2025-09-25,"infections",NA,"Estimate",50.7170295222791,51.3948619639035,7.08589496484751,3210,41.1008728712607,46.881640249204,49.2196269413136,52.3208675593426,55.037787281009,63.7090745381738
2025-09-26,"infections",NA,"Estimate",53.6447884096177,54.3157924525969,7.41853529893383,3210,43.4731146215996,49.6121074382219,52.0055964349891,55.2153499657682,58.2571560243777,67.1673313967787
2025-09-27,"infections",NA,"Estimate",56.7747308945486,57.4383353035895,7.79119702841233,3210,46.0808224123331,52.4936520788387,55.0632556948474,58.3792830621031,61.5504788870295,71.0313216091786
2025-09-28,"infections",NA,"Estimate",60.0501816098246,60.7788189687974,8.20248711248322,3210,48.8389223003453,55.4249047484227,58.3198641128193,61.8610612290448,65.1099368512453,75.3201386872658
2025-09-29,"infections",NA,"Estimate",63.5330342425589,64.3551450450742,8.65080743931187,3210,51.8573169816899,58.8399790615019,61.7934992874291,65.5479547656667,68.8941408013071,79.6311450729843
2025-09-30,"infections",NA,"Estimate",67.3589984502872,68.1869234936888,9.13456335655198,3210,55.1025113417235,62.2798489168089,65.448180674053,69.525138469526,72.9772655681568,84.2050388108891
2025-10-01,"infections",NA,"Estimate",71.4753693992608,72.2956139783127,9.65239044621678,3210,58.4302602771658,66.0083425076293,69.4745513726685,73.6701835088623,77.3464030720209,89.3796694022926
2025-10-02,"infections",NA,"Estimate",75.9034653703669,76.7046747914209,10.2033906548211,3210,61.90339519743,69.9007233976853,73.7263373601346,78.1872985862615,82.1970918135159,94.7860795760495
2025-10-03,"infections",NA,"Estimate",80.6435894646116,81.4397191785675,10.7873669770083,3210,65.6400645762211,74.179507532619,78.3805529450068,83.0656516658472,87.2771969828372,100.326277043953
2025-10-04,"infections",NA,"Estimate",85.7508104499699,86.528677736095,11.4050464032711,3210,69.8368859078925,78.9662143348556,83.2817861250903,88.213564159656,92.7508470959711,106.219787681347
2025-10-05,"infections",NA,"Estimate",91.1540434511406,92.0019656472736,12.0582873843169,3210,74.5301847111674,84.1371922651956,88.4493793190705,93.7229244616696,98.5906643998947,112.633472058482
2025-10-06,"infections",NA,"Estimate",97.022880648722,97.8926555223543,12.7502846259427,3210,79.4759799149291,89.6451765036297,94.1073605499206,99.7081410532948,104.649412596148,119.534694971734
2025-10-07,"infections",NA,"Estimate",103.417656815829,104.236660826015,13.4858118966902,3210,84.7496802215878,95.614458798216,100.263117026471,106.207284042034,111.36429549851,127.400289969554
2025-10-08,"infections",NA,"Estimate",110.11435756246,111.072938237906,14.2715761831419,3210,90.2061559956141,102.068625701985,107.013210547616,113.02441595111,118.697538147966,135.535279856534
2025-10-09,"infections",NA,"Estimate",117.253056090664,118.443719314703,15.1167791872872,3210,96.1270953958159,108.941307905414,114.222350549063,120.41278937406,126.447649560823,143.885667734298
2025-10-10,"infections",NA,"Estimate",125.105310578298,126.39478003235,16.033978298341,3210,102.610637141449,116.549529798732,121.919711357154,128.586506043714,134.864528735784,153.474361535636
2025-10-11,"infections",NA,"Estimate",133.646941970739,134.975753009016,17.0403020594406,3210,109.743294593319,124.479277645083,130.287411009538,137.412746473469,143.939733757251,163.682750075889
2025-10-12,"infections",NA,"Estimate",142.811829669068,144.240484924424,18.1590158609744,3210,117.415124431732,132.825932268057,139.268402736746,146.871628859654,153.644249206478,174.817088704874
2025-10-13,"infections",NA,"Estimate",152.671688386565,154.247444418672,19.4213770087276,3210,125.62595375862,142.311396476681,149.002104136962,157.023507825819,164.13037633885,186.916331376484
2025-10-14,"infections",NA,"Estimate",163.419065572633,165.060194294647,20.8686860012861,3210,134.283937948644,152.227065539966,159.367572211898,167.971991290196,175.653921464967,200.387228297027
2025-10-15,"infections",NA,"Estimate",175.004172537217,176.747952611925,22.5544326705214,3210,143.541433759301,162.750934050201,170.668813291111,179.883880163904,188.128126565935,215.009280111009
2025-10-16,"infections",NA,"Estimate",187.65614348091,189.386274110621,24.5464297916313,3210,153.602625377043,174.07818861631,182.761573823929,192.583315673746,201.733612021369,230.796751233627
2025-10-17,"infections",NA,"Estimate",201.18820377067,203.05788191609,26.9288063904082,3210,164.117508240433,186.528464877475,195.835596543322,206.479963567455,216.61956984085,247.551551389336
2025-10-18,"infections",NA,"Estimate",215.966533743398,217.8536707901,29.8037240662635,3210,174.184076085814,199.459409942541,209.604821647851,221.732685110746,233.104513258497,267.536682975228
2025-10-19,"infections",NA,"Estimate based on preliminary data",231.710443933649,233.873894289472,33.2927528329072,3210,185.369589905919,213.581628822374,224.771231802008,238.229153850732,250.679348844762,289.230565087437
