"date","variable","strat","type","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90"
2025-09-08,"R",NA,"Estimate",1.18587153929847,1.17777611429264,0.0908132998786806,1.02378183883234,1.12338079426165,1.16273697491413,1.20578816201087,1.23373185544011,1.31385689294072
2025-09-09,"R",NA,"Estimate",1.18674374303874,1.17843205579411,0.0880025360803954,1.02855482365492,1.12617296779518,1.16392226146903,1.20600525075432,1.23334503713321,1.31041156085351
2025-09-10,"R",NA,"Estimate",1.18693392667488,1.17916998450077,0.0851461129472129,1.03291023733672,1.12818032384813,1.16490728962176,1.2058848936362,1.2322111131835,1.30687323345384
2025-09-11,"R",NA,"Estimate",1.18716548722016,1.17998969476607,0.0822591270034224,1.03785047232446,1.13013134141429,1.16558147580269,1.20572131117511,1.23196948787538,1.30298513139971
2025-09-12,"R",NA,"Estimate",1.18768095483439,1.18088985293004,0.0793557189607069,1.04271447817796,1.13279740827289,1.16698127950434,1.20579723462218,1.23144557823948,1.29954661442503
2025-09-13,"R",NA,"Estimate",1.18817813790124,1.18186826788725,0.0764507631297889,1.04831442885211,1.13483102135232,1.16783925794216,1.2057423773467,1.23116774764469,1.29781390007949
2025-09-14,"R",NA,"Estimate",1.18934054719222,1.18292220369093,0.0735607306700461,1.05562450645142,1.13667378152973,1.1692080296684,1.20572117757317,1.23052958422808,1.2948419333001
2025-09-15,"R",NA,"Estimate",1.18975455383726,1.18404869607514,0.0707033413499944,1.06151662093013,1.13934415885951,1.17093333010602,1.20575712846713,1.22998254556838,1.29182464902881
2025-09-16,"R",NA,"Estimate",1.19000780702673,1.1852448754476,0.0678963060887093,1.07038384640644,1.14213990591739,1.17273940406847,1.20616508826995,1.23025606420205,1.28823948687701
2025-09-17,"R",NA,"Estimate",1.19044117155306,1.18650831301252,0.0651558399080697,1.07651459688519,1.14490123770763,1.17458060412775,1.20656837448517,1.23035670585015,1.28539315134199
2025-09-18,"R",NA,"Estimate",1.19166058819616,1.18783738462557,0.0624954613194202,1.08428122401661,1.14730208112552,1.17652956647737,1.20709730789622,1.22977960218567,1.28302359589567
2025-09-19,"R",NA,"Estimate",1.19318533348615,1.18923161000515,0.0599251344637276,1.0917620230912,1.15060082252749,1.17829317338238,1.20742700848194,1.22951134338842,1.28097610681607
2025-09-20,"R",NA,"Estimate",1.19452779727966,1.1906919044956,0.057450567746905,1.0952331700143,1.15376608933351,1.18052257358337,1.20826424641461,1.22914300522281,1.27904628307196
2025-09-21,"R",NA,"Estimate",1.19573979291283,1.19222069183445,0.0550727377543434,1.10060146232715,1.15730640636453,1.18278985727487,1.20865191922992,1.22882717862111,1.27786171624898
2025-09-22,"R",NA,"Estimate",1.19748908188501,1.19382185797802,0.0527881716228997,1.1064372622223,1.16000757622215,1.18493177383208,1.20963264832113,1.22932566694335,1.27655278562195
2025-09-23,"R",NA,"Estimate",1.19858476660049,1.19550055356127,0.0505905915797077,1.11042871016713,1.16278852227027,1.18686061414323,1.210833004858,1.22907386954342,1.27426340437761
2025-09-24,"R",NA,"Estimate",1.20026456633242,1.19726286132308,0.048473946085289,1.11673872901578,1.1660541833482,1.18838557361912,1.21161124830864,1.22945205019002,1.27258381473561
2025-09-25,"R",NA,"Estimate",1.20171205215577,1.19911534084579,0.0464360354653442,1.12168519968422,1.16908300878803,1.19045042475823,1.21345359421025,1.23014487701351,1.27012923516569
2025-09-26,"R",NA,"Estimate",1.20340671747718,1.20106446401896,0.0444815323234638,1.12731256201575,1.17298741696573,1.19259381550885,1.21422009914436,1.23044542002002,1.26940588629275
2025-09-27,"R",NA,"Estimate",1.20463358060037,1.20311597227808,0.0426234318877627,1.13360325779403,1.17642994895289,1.19468624111874,1.21538070490445,1.23125395417208,1.26896523412455
2025-09-28,"R",NA,"Estimate",1.20644995520208,1.20527421568862,0.0408825784752847,1.13761076934509,1.17978307217124,1.19685784844353,1.21668329558209,1.23223384649375,1.26880878541347
2025-09-29,"R",NA,"Estimate",1.20895817927433,1.20754155621396,0.0392855376185787,1.14160647517131,1.1836661948424,1.19904799737052,1.21801506344749,1.23335817080481,1.26823532532335
2025-09-30,"R",NA,"Estimate",1.21127702427288,1.20991791506699,0.037861507915868,1.14708004766256,1.18736389994633,1.20165098424347,1.21977338936746,1.23411557380223,1.26901475305842
2025-10-01,"R",NA,"Estimate",1.21327243403698,1.21240051221647,0.0366390643626588,1.15195294824866,1.19095542207935,1.20514265997799,1.22194978867126,1.23566085097955,1.27066261002948
2025-10-02,"R",NA,"Estimate",1.21572440082992,1.21498379856584,0.0356432510698154,1.15529785266563,1.19422551115721,1.20824498717833,1.22442985338386,1.23693138082635,1.2711604169854
2025-10-03,"R",NA,"Estimate",1.21841820603535,1.21765954291907,0.0348931294029838,1.1583926631365,1.19728987897138,1.2107691111895,1.22662796681793,1.23881706197347,1.27197074360945
2025-10-04,"R",NA,"Estimate",1.22075248802956,1.22041702611215,0.0343998225883364,1.16220690503737,1.20027151959235,1.21320929670982,1.22897387056876,1.24124884242857,1.27401223716029
2025-10-05,"R",NA,"Estimate",1.22367643990744,1.22324331276044,0.0341656009540573,1.16640907826399,1.20381786048978,1.21553187566745,1.23130640913054,1.24419102935748,1.27609230964857
2025-10-06,"R",NA,"Estimate",1.22616839025627,1.22612359503601,0.0341850820222543,1.16995922701694,1.20658392599215,1.21843763878696,1.23361875511925,1.24668965994566,1.27902963539321
2025-10-07,"R",NA,"Estimate",1.22886655742596,1.22904160657472,0.0344492049099342,1.17316525491849,1.20926238361922,1.22135146107645,1.23639836620883,1.24927857117072,1.28454215571893
2025-10-08,"R",NA,"Estimate",1.23155031165928,1.23198008023151,0.0349509926717796,1.17563945529236,1.21154113440591,1.22426677961632,1.23939052193289,1.25252335362428,1.28834545063239
2025-10-09,"R",NA,"Estimate",1.23444929179873,1.23492119112391,0.0356903259160832,1.17817407068232,1.21422643054469,1.2271226616498,1.24227732407326,1.25602652754031,1.29389445007039
2025-10-10,"R",NA,"Estimate",1.23763945819961,1.2378469203921,0.0366747325224732,1.17870922771329,1.21639967783149,1.22965449980247,1.24529982272209,1.25898085723862,1.2985497749179
2025-10-11,"R",NA,"Estimate",1.24028813141175,1.24073931457157,0.0379152944950078,1.18059322646788,1.21809981986404,1.2324466912008,1.24816471114123,1.26300560508853,1.30325564799483
2025-10-12,"R",NA,"Estimate",1.24304528762075,1.24358068381537,0.0394200046084706,1.18157788909543,1.21988663334737,1.23482743932361,1.25119597145075,1.26692588674142,1.30945285891543
2025-10-13,"R",NA,"Estimate",1.24536019922206,1.24635383367965,0.0411888238422036,1.18098074632133,1.22162880558809,1.23686178077618,1.25400336795033,1.27148116449376,1.31495049821316
2025-10-14,"R",NA,"Estimate",1.2480517685403,1.24904241744663,0.0432135621465915,1.1813645337306,1.22267801885491,1.23885142415882,1.25697318804619,1.27493233581129,1.32023858213992
2025-10-15,"R",NA,"Estimate",1.2502646708556,1.25163142452769,0.0454822347596574,1.18122156346247,1.22376208407976,1.24037818866335,1.26001873128372,1.27793241957284,1.32720242750316
2025-10-16,"R",NA,"Estimate",1.25250003816734,1.2541077272934,0.0479844422115212,1.18158572623986,1.22419605127454,1.24193434385712,1.2626024483808,1.28200895682522,1.3350773087387
2025-10-17,"R",NA,"Estimate",1.25456633461605,1.2564605552356,0.0507139099516658,1.17930826404735,1.22487980431432,1.24293951740118,1.2648393450698,1.28554840147586,1.34371740790568
2025-10-18,"R",NA,"Estimate",1.25643694770098,1.25868178849297,0.0536666669942444,1.1778704246825,1.22488352877832,1.24395766211271,1.26690107863431,1.2890576517652,1.35084453358886
2025-10-19,"R",NA,"Estimate based on preliminary data",1.25748751591248,1.26076604578258,0.0568364815669403,1.17684501504167,1.22467128765906,1.24521510949949,1.26928761219459,1.29225779157287,1.35826378065807
2025-10-20,"R",NA,"Estimate based on preliminary data",1.25891730166002,1.2627106246804,0.0602107990404083,1.1739851054893,1.22472592422022,1.24595545179387,1.27062028986666,1.29556483717474,1.36667591212749
2025-10-21,"R",NA,"Estimate based on preliminary data",1.25987726216736,1.26451537554492,0.0637695617637902,1.17120709880034,1.2242453624896,1.24684752505414,1.27234806290501,1.29873360470474,1.37411428459719
2025-10-22,"R",NA,"Estimate based on preliminary data",1.26096574868498,1.26618254065961,0.0674868675815469,1.16766772659025,1.22410536584258,1.24772995814504,1.273971229157,1.30209843964836,1.38321270649197
2025-10-23,"R",NA,"Estimate based on preliminary data",1.26173725472127,1.26771651136155,0.0713334232817397,1.16482204880018,1.22413178401142,1.24796333813314,1.27521398890433,1.30493180249978,1.39336681264287
2025-10-24,"R",NA,"Estimate based on preliminary data",1.2624688708814,1.26912341683961,0.0752775729008021,1.16127566934976,1.2229446926687,1.24761764283269,1.27651428127084,1.30750950580479,1.40262012820809
